client_id,Variation
9988021,Test
8320017,Test
4033851,Control
1982004,Test
9294070,Control
9466803,Test
3170143,Test
6651403,Control
5887227,Test
2105948,Control
438567,Test
2519971,Test
9814849,Control
5407849,Test
7286739,Control
4446011,Control
5308474,Test
2991219,Test
2354414,Test
949210,Test
4229407,Control
9987707,Test
2709011,Test
4507502,Test
2842481,Control
2317698,Test
3013805,Test
1218661,Control
2965703,Test
1712929,Control
2328234,Test
800925,Control
6685654,Test
8766054,Test
4726500,Test
9504867,Test
1242238,Control
7800773,Test
9477476,Control
1338778,Control
6584990,Control
7859827,Test
7407692,Test
7040762,Control
9900469,Test
5169372,Control
5267250,Control
2079440,Test
5376894,Test
3751049,Control
8240010,Test
6110816,Test
2550129,Test
9912156,Control
7690370,Test
9885354,Test
1962381,Test
229701,Control
2818303,Control
6229916,Test
9358626,Control
4773291,Control
4953263,Control
522661,Test
3754789,Control
3066535,Control
9545426,Control
4778144,Control
2000786,Control
1532932,Test
9096386,Test
6986475,Control
7996704,Control
2211277,Test
9268841,Test
4213800,Control
1763518,Control
7485024,Test
2437471,Control
1628554,Test
9744906,Test
7289266,Control
3883711,Test
8123801,Test
598943,Control
8491121,Test
8861901,Control
6853744,Control
1404893,Control
768936,Test
5408845,Test
9336495,Control
4744361,Control
2397739,Test
2136502,Test
7501437,Test
9628154,Control
9293919,Control
5318449,Test
5022038,Test
2565373,Control
5745157,Test
6653427,Test
6071019,Control
632316,Test
1152171,Test
8188670,Control
1021747,Test
226198,Test
6216233,Control
1846219,Test
2093449,Test
7902892,Test
722917,Test
4747144,Control
2199722,Test
2235331,Test
8313694,Control
2382696,Test
2679453,Control
7276973,Control
4532572,Test
8771952,Test
5256566,Control
1342790,Control
9775174,Test
3703187,Test
2769120,Control
6031726,Test
8870709,Control
2145511,Control
461846,Control
4878112,Control
843249,Test
5018154,Test
9414396,Control
6650565,Control
2062199,Control
6682559,Test
9516496,Test
3382939,Test
7833565,Test
9448266,Test
2406356,Test
7112284,Control
6141432,Control
2015197,Control
5429577,Control
1636347,Control
4577314,Control
3068817,Test
2358419,Test
6283739,Control
8289357,Test
1423857,Control
117916,Test
2810561,Test
2040881,Control
6547909,Control
9774553,Test
203702,Control
2336869,Control
3638107,Control
391025,Control
6954534,Test
7636277,Control
8100455,Test
3548541,Test
2050360,Test
8675285,Test
868124,Control
8241574,Test
559169,Control
2276090,Control
1095432,Test
3036660,Control
5546524,Control
3544855,Test
7474517,Control
7212234,Test
9207047,Test
452583,Control
7762269,Test
7599262,Test
945176,Control
7690452,Test
5537612,Test
4256611,Test
2889049,Control
137412,Test
171492,Test
668996,Control
8076294,Control
8893466,Test
4727155,Test
4493573,Test
2797397,Control
6480779,Control
257840,Test
7340414,Control
5221768,Test
2306578,Test
9700346,Test
192518,Test
5163125,Control
5821983,Control
1884538,Control
902895,Test
841242,Control
872142,Control
3480918,Test
8203999,Test
617840,Control
1929698,Control
8963925,Test
7758940,Test
8319726,Test
298590,Test
2856502,Test
6930182,Test
965266,Control
2465098,Test
1667380,Test
8701900,Test
5133382,Test
913704,Test
1519456,Test
8424645,Control
7284366,Test
1933359,Test
4506445,Test
8366788,Test
7214811,Test
6819326,Control
2475049,Control
6394423,Test
3081313,Control
9292160,Test
493311,Control
4470019,Test
6442081,Test
8416851,Control
1938076,Test
1907109,Test
2852997,Control
7979476,Test
5255030,Test
3633784,Test
7161996,Test
9707270,Control
4772716,Control
9888375,Control
1161478,Test
7669299,Test
3827180,Control
1970830,Control
1640688,Control
676552,Test
3399501,Test
3543788,Test
7902599,Test
8068308,Control
4638153,Control
1788838,Control
693101,Test
6520285,Test
9997114,Control
3286605,Control
1751757,Test
1064690,Control
2038707,Control
297472,Control
2160702,Control
2289897,Control
4657902,Test
6960009,Control
6665317,Test
2057773,Control
7523181,Control
5324253,Test
860745,Control
5340072,Test
5226626,Test
4520186,Test
219230,Control
3369137,Control
7479054,Control
4244891,Test
4384098,Control
7582150,Control
8308363,Test
8165914,Test
3520993,Control
5645966,Control
9378146,Control
148369,Test
5192659,Test
7007069,Control
127921,Test
3310785,Control
7423412,Control
8279228,Test
588240,Control
7699381,Control
7046133,Control
9364005,Test
5459195,Test
6442655,Test
7449461,Test
4963381,Test
6456062,Control
4823947,Control
8860992,Control
530654,Control
3347759,Control
7873338,Control
169185,Test
6980919,Test
6519269,Test
1638971,Test
7984549,Test
4137841,Test
459221,Test
3430793,Test
4853470,Test
8696517,Control
5751565,Test
3968370,Control
1718250,Test
6058534,Test
6597561,Control
6098661,Test
8861365,Test
2346575,Test
7973780,Control
5119497,Control
2532775,Test
3155140,Control
924852,Test
8330343,Test
8607482,Test
4827059,Control
4785260,Test
4778491,Test
7200160,Test
304982,Control
7177069,Test
9059531,Control
3130496,Test
7705990,Test
133101,Control
2790745,Test
2498676,Test
8988721,Control
6224299,Control
3217890,Control
9403921,Control
2356366,Control
453167,Control
372523,Control
2611324,Test
8766886,Test
3106431,Test
5615453,Test
7087847,Control
8760103,Test
5786954,Test
3175977,Test
5124813,Test
7221996,Test
7422759,Control
8609229,Test
9176963,Test
589292,Test
5417457,Control
863704,Control
117276,Test
7441896,Control
7763445,Test
7359292,Test
4101033,Control
1180583,Control
246429,Test
395074,Test
6006542,Test
1424799,Test
4251309,Test
5026927,Test
8512093,Test
8959766,Test
413157,Control
7448926,Control
806192,Test
1542033,Test
3432043,Test
1406408,Test
4694039,Test
2155192,Test
2657900,Control
4514754,Control
1673947,Control
4961256,Test
3413971,Control
2323637,Test
1209140,Test
85097,Control
2262795,Control
4501407,Test
5593703,Test
1461831,Test
5867403,Test
8825647,Control
2314843,Test
219207,Test
3535465,Test
4878070,Test
7337058,Control
3498908,Control
77276,Test
4630285,Control
5667617,Test
8184247,Control
7787684,Control
4247007,Control
7644707,Test
8620721,Control
1818956,Control
2211868,Control
5437254,Test
3584819,Control
6303538,Control
897477,Control
8003648,Control
5456658,Control
3846126,Test
5673767,Test
2558586,Test
4008787,Test
6917138,Test
2333006,Control
9067031,Test
7761694,Test
2043345,Test
4209246,Test
5238758,Test
1373405,Test
8277940,Control
2735635,Test
5567038,Test
4239711,Control
9635244,Control
2798211,Test
2915635,Test
947738,Test
3444839,Test
9797297,Control
5176958,Control
759780,Test
4985317,Test
3910595,Test
6688350,Test
6405208,Test
2986194,Test
1651697,Control
6503101,Test
9103724,Control
2561883,Test
7873226,Control
9922958,Test
323950,Control
932489,Test
6781849,Control
467861,Test
7430424,Control
7458004,Control
8753284,Test
9052277,Test
1428836,Test
2480352,Test
5896556,Control
3716868,Test
993682,Control
4036374,Control
1330036,Test
6325731,Test
8750191,Control
1720728,Test
9004679,Control
4342700,Control
8723963,Test
2458751,Test
5203477,Test
6405391,Test
2374507,Test
3011265,Control
3029315,Test
9164248,Test
6450029,Control
7045324,Test
3582059,Test
6773537,Test
1314809,Control
2615801,Test
7375067,Control
7159966,Test
4575187,Test
667534,Test
8604038,Control
2617114,Control
3436975,Control
119599,Test
7574730,Test
3362712,Control
42296,Control
3695514,Control
1192384,Control
4590361,Control
5543024,Test
7546085,Test
3072060,Test
1928906,Control
512833,Control
9089805,Control
5397802,Test
2888193,Control
4778460,Control
6199584,Test
7192558,Test
9102754,Test
3576255,Test
6346672,Control
1274510,Test
8283444,Control
3519145,Test
4390568,Control
5694063,Test
3602152,Test
4065760,Test
69568,Test
2420923,Test
5848027,Control
6522942,Test
1272344,Test
8957739,Test
8337830,Control
572617,Test
7744581,Test
3045158,Control
6747525,Control
7258442,Control
7746715,Test
1486118,Control
3563844,Test
9493365,Test
985881,Test
9792423,Test
7037852,Control
6767637,Control
8735726,Control
5914359,Test
1983898,Control
8930597,Control
1892008,Control
9889913,Test
1468125,Control
3025507,Control
529710,Test
9842475,Control
4343885,Control
4876132,Test
7829568,Test
8472274,Test
7475482,Control
6371350,Test
838584,Test
8526665,Control
9865882,Control
4717090,Control
1289178,Test
3412472,Control
6766816,Test
6774011,Test
3649806,Test
1034218,Test
4448805,Control
3766837,Test
9231655,Control
6296222,Test
2200779,Test
5027124,Control
1432979,Control
3999559,Test
3671491,Control
3179230,Test
9748979,Control
3590487,Test
8874319,Test
8691226,Test
9513138,Control
7884558,Test
1090478,Test
1304240,Test
2681612,Control
851930,Control
1344982,Test
5171271,Test
6602680,Test
2447231,Test
5631396,Test
6833110,Control
4960901,Control
2189750,Test
9455754,Test
209511,Control
741785,Control
2855888,Control
9083686,Control
2645953,Control
903457,Control
3039540,Test
4730612,Test
2763314,Control
3453411,Test
5212054,Control
1344819,Control
8681644,Control
8125499,Test
7271587,Test
964596,Test
2675819,Control
8852099,Control
7465287,Test
8132181,Test
5759626,Test
2900782,Control
2963107,Control
8862044,Control
7433366,Control
133487,Control
7470213,Test
6809622,Test
1616582,Test
9159465,Test
494597,Test
4503552,Control
3089722,Control
9641810,Control
985046,Test
192160,Test
6233261,Test
6332820,Control
2623927,Control
8839288,Test
495241,Test
5195063,Test
7878552,Control
2312741,Test
7633966,Control
6717348,Test
3502824,Control
614865,Test
7702732,Test
1711408,Test
1399670,Control
157106,Test
1696504,Control
4243376,Test
2606054,Test
4369578,Test
7597104,Control
9221129,Test
8225520,Test
595691,Test
6464033,Test
4211505,Control
9335333,Test
1192407,Test
9824178,Test
1087333,Test
3982600,Control
1290643,Test
728102,Test
763504,Test
629229,Test
2892822,Test
219038,Test
3387907,Control
951327,Test
4857096,Control
7258987,Test
5240348,Control
9219098,Control
6521093,Control
3421393,Control
2025761,Control
3119062,Test
6740819,Control
6053599,Control
7606536,Control
3206726,Control
2128160,Control
2019649,Test
1194245,Control
2681771,Test
8295735,Control
312984,Control
2839247,Control
9661060,Test
5732744,Control
3973582,Test
4620465,Test
6115514,Test
6479455,Test
5363445,Control
6981798,Control
8031718,Control
1262291,Control
8770403,Control
1348442,Control
566137,Test
3861702,Control
4693102,Control
5398009,Test
5015824,Test
9542428,Control
8348798,Test
4608580,Control
2263719,Control
2612667,Test
1213524,Test
1344421,Test
8555070,Control
2787512,Control
9534176,Control
2588637,Test
2615052,Test
965179,Test
273469,Test
6651108,Test
7460349,Control
3197853,Test
844271,Test
8774888,Test
6382757,Test
8501430,Control
6724494,Test
7804581,Control
8095423,Control
8264879,Test
6374406,Control
2717233,Test
9837096,Control
4281763,Test
9112089,Control
7887156,Control
743037,Control
3825646,Control
6948287,Test
3060095,Test
9696533,Control
4701896,Test
4743022,Control
2491891,Test
589393,Test
6033805,Control
7690775,Control
466526,Control
8305562,Test
3319690,Test
5253835,Test
5688104,Control
9589889,Test
9513516,Test
1410997,Control
6682361,Test
390650,Test
9914877,Test
1908164,Test
1428184,Test
6662941,Control
625038,Control
8127978,Test
4497644,Test
2928968,Test
2459641,Test
2502567,Control
6809452,Test
2570257,Control
1900836,Test
9887206,Test
8117339,Control
9292612,Control
4589317,Test
9600289,Test
8644587,Test
3515019,Test
1399011,Test
3859509,Test
9624621,Control
1411452,Test
9451729,Test
7158922,Test
2824464,Test
7355987,Test
4290599,Test
195455,Test
5941398,Test
4855745,Test
5670374,Control
4889645,Test
7393980,Test
5754741,Test
955190,Test
5520127,Control
8360249,Control
4825054,Control
431615,Test
6405406,Test
5619517,Control
4452301,Test
9762839,Test
2044540,Control
5080437,Test
8213521,Control
9937888,Test
9786441,Test
5593356,Control
6217407,Test
4883446,Test
8655162,Test
1622925,Test
5867862,Test
7916237,Test
2080737,Test
3350408,Test
1011972,Control
520210,Test
6559023,Control
1835426,Test
1859491,Test
8158588,Test
1787233,Test
1255014,Control
3314416,Control
8121690,Test
8219792,Control
3252556,Test
4577049,Control
9795698,Test
4202537,Control
8792675,Control
1113976,Test
6605778,Test
3030274,Control
5166590,Test
5395303,Control
122493,Control
8607353,Test
9309880,Test
6219485,Test
6779709,Test
1181698,Control
8627900,Test
9265934,Control
9441056,Control
9017041,Control
2815061,Control
6330488,Test
8550901,Control
6586655,Control
435580,Control
6461191,Control
5551581,Test
9983987,Test
8006148,Test
6670730,Control
6692080,Test
3861021,Control
4332065,Test
5802843,Test
4052287,Control
8375573,Test
8512863,Control
9749944,Control
9615900,Test
7274800,Test
5819620,Control
1790923,Control
6097361,Control
8314579,Test
9286966,Test
8961589,Test
7105238,Control
3071281,Test
981261,Control
987879,Test
9652308,Test
3976933,Control
8544465,Test
8645809,Test
7278903,Test
9455359,Test
8627399,Control
162867,Test
1033888,Control
7512282,Control
3875133,Test
5296568,Test
5569364,Control
483740,Test
6958432,Test
4533589,Test
7977593,Control
8470878,Control
2460950,Test
5028215,Test
7030145,Test
7303592,Control
2465426,Control
9007970,Test
1333964,Test
4129281,Test
4635518,Control
8605014,Control
9382137,Control
5328442,Control
7932118,Test
3028950,Test
6148802,Test
5955812,Test
2923234,Test
2528424,Test
3722490,Test
9296214,Test
2529822,Test
3337387,Test
4870929,Test
2619480,Control
7421893,Control
3725888,Test
9406425,Test
2529383,Test
6724871,Test
9322129,Test
9202764,Control
5209141,Test
2113818,Test
9764115,Test
1296904,Control
4719244,Test
6372831,Control
4313319,Control
542563,Control
9076766,Control
6410961,Control
3050600,Control
8945602,Control
1111442,Test
1061161,Control
6580601,Control
2671815,Control
8794099,Control
56570,Test
1647261,Control
3579822,Control
9461504,Test
4728463,Test
7377294,Test
7931364,Test
8156741,Control
5033489,Control
2983878,Control
3461541,Control
6434694,Control
6751236,Test
7429878,Test
5171763,Control
8012228,Test
7825081,Test
6046772,Test
8580049,Test
2067509,Test
