client_id,calls_6_month,logons_6_month,Variation
836976,6.0,9.0,Test
2304905,6.0,9.0,Control
1439522,6.0,9.0,Test
1562045,3.0,6.0,Test
5126305,0.0,3.0,Control
3727881,0.0,3.0,Control
272934,2.0,5.0,Control
388801,1.0,4.0,Test
285619,3.0,6.0,Control
8198645,6.0,9.0,Test
8368822,0.0,3.0,Control
2537139,6.0,9.0,Control
2208717,6.0,9.0,Test
2214073,6.0,9.0,Test
2368987,2.0,5.0,Control
2892152,5.0,8.0,Test
4536541,1.0,4.0,Test
3788589,0.0,3.0,Control
719792,5.0,8.0,Test
5904035,3.0,6.0,Test
1502049,0.0,3.0,Control
6590646,5.0,8.0,Test
7585111,1.0,4.0,Control
3638336,3.0,6.0,Test
9520009,6.0,9.0,Control
1508759,4.0,7.0,Test
9381346,0.0,3.0,Control
7035604,1.0,4.0,Control
3055315,1.0,5.0,Control
3350906,2.0,5.0,Control
2109862,2.0,5.0,Test
1549737,1.0,4.0,Control
7474517,4.0,7.0,Control
6448014,6.0,9.0,Control
6651826,0.0,3.0,Control
2305285,6.0,9.0,Control
5889920,1.0,4.0,Test
3065089,6.0,9.0,Test
313570,2.0,5.0,Test
9721424,0.0,3.0,Test
3753796,6.0,9.0,Control
6647577,2.0,5.0,Test
6341488,5.0,8.0,Test
838619,0.0,3.0,Test
2000151,6.0,9.0,Test
6579978,1.0,4.0,Control
8475126,3.0,6.0,Control
7419744,0.0,3.0,Test
9796602,0.0,3.0,Test
1329260,5.0,8.0,Control
4821014,1.0,4.0,Control
7906602,2.0,5.0,Test
2671231,1.0,4.0,Control
9587439,6.0,9.0,Control
5542798,5.0,8.0,Test
5977906,3.0,6.0,Control
7928244,6.0,9.0,Test
4906392,2.0,5.0,Control
3939684,1.0,4.0,Control
3731320,6.0,9.0,Test
9055726,6.0,9.0,Test
5808972,0.0,3.0,Control
7414763,6.0,9.0,Test
1531616,6.0,9.0,Control
8387066,6.0,9.0,Test
3402999,0.0,3.0,Control
8593187,6.0,9.0,Control
5908339,5.0,8.0,Control
4442018,6.0,9.0,Control
5727622,4.0,7.0,Test
3284361,1.0,4.0,Test
6666515,2.0,5.0,Test
9150149,2.0,5.0,Control
7176877,2.0,5.0,Control
410752,2.0,5.0,Test
3979917,4.0,7.0,Control
7759130,6.0,9.0,Test
5587497,5.0,8.0,Control
4264493,6.0,9.0,Control
9492169,0.0,3.0,Control
5816825,3.0,6.0,Test
9692048,4.0,7.0,Control
9250552,2.0,5.0,Control
1730954,0.0,3.0,Control
2264903,2.0,5.0,Test
7321667,6.0,9.0,Test
1460648,5.0,8.0,Test
2942135,6.0,9.0,Test
1459001,1.0,4.0,Control
6398341,6.0,9.0,Control
5531076,2.0,5.0,Control
3162487,0.0,3.0,Test
2570380,2.0,5.0,Control
5449775,2.0,5.0,Control
8415669,0.0,3.0,Control
6810931,5.0,8.0,Test
8096768,0.0,3.0,Control
6737425,5.0,8.0,Test
7949341,0.0,3.0,Test
7458635,6.0,9.0,Control
3322068,6.0,9.0,Test
1643775,1.0,4.0,Control
934609,1.0,4.0,Test
2408879,5.0,8.0,Test
1596507,6.0,9.0,Test
8763719,6.0,9.0,Control
7702214,6.0,9.0,Control
200698,2.0,5.0,Test
7449147,3.0,6.0,Control
2096514,1.0,4.0,Control
5474775,0.0,3.0,Test
6226205,4.0,7.0,Test
2069824,6.0,9.0,Control
7045562,1.0,4.0,Control
8501949,5.0,8.0,Test
5376149,6.0,9.0,Control
148954,3.0,6.0,Control
7803610,6.0,9.0,Test
7772844,0.0,3.0,Test
4681026,6.0,9.0,Control
9242446,3.0,6.0,Control
1905822,2.0,5.0,Control
5586955,0.0,3.0,Test
6980695,5.0,8.0,Control
3097635,0.0,3.0,Test
2559930,5.0,8.0,Control
2693746,0.0,3.0,Control
9073948,6.0,9.0,Control
9897542,2.0,5.0,Control
6652996,1.0,4.0,Control
5601417,0.0,3.0,Test
4560228,1.0,4.0,Test
1592329,0.0,3.0,Control
