client_id,seniority_per_years,age,gender,number_of_accounts,balance,Variation
836976,6.0,60.5,U,2.0,45105.3,Test
2304905,7.0,58.0,U,2.0,110860.3,Control
1439522,5.0,32.0,U,2.0,52467.78999999999,Test
1562045,16.0,49.0,M,2.0,67454.65,Test
5126305,12.0,33.0,F,2.0,103671.75,Control
3727881,5.0,30.5,U,2.0,23915.6,Control
272934,5.0,58.5,U,2.0,27021.42,Control
388801,30.0,57.5,M,5.0,522498.72,Test
285619,30.0,67.5,M,2.0,299388.72,Control
8198645,15.0,54.5,F,2.0,382303.83,Test
8368822,8.0,34.5,U,2.0,75578.54000000001,Control
2537139,8.0,51.5,U,2.0,135940.68,Control
2208717,5.0,33.0,U,2.0,29782.96,Test
2214073,16.0,62.5,M,3.0,136818.03,Test
2368987,5.0,54.5,U,2.0,44408.87,Control
2892152,4.0,36.0,U,2.0,46815.48,Test
4536541,3.0,74.0,U,2.0,47804.5,Test
3788589,10.0,32.5,M,2.0,30750.76,Control
719792,11.0,31.0,F,2.0,111736.78,Test
5904035,8.0,25.5,U,2.0,27848.76,Test
1502049,8.0,31.0,U,2.0,28952.15,Control
6590646,8.0,42.5,F,3.0,2768726.87,Test
7585111,5.0,42.0,U,3.0,36621.41,Control
3638336,12.0,30.5,M,3.0,54296.67,Test
9520009,13.0,30.0,M,2.0,61062.57,Control
1508759,6.0,58.5,U,2.0,66514.85,Test
9381346,7.0,62.5,U,2.0,272252.76,Control
7035604,7.0,30.5,U,2.0,28175.92,Control
3055315,5.0,34.5,F,2.0,66560.69,Control
3350906,5.0,55.0,U,2.0,88627.18,Control
2109862,7.0,38.0,U,2.0,35917.29,Test
1549737,7.0,68.5,U,2.0,35608.94,Control
7474517,6.0,52.5,U,2.0,53993.47,Control
6448014,7.0,57.5,U,2.0,82787.45999999999,Control
6651826,8.0,34.5,U,2.0,44696.97,Control
2305285,14.0,54.0,M,2.0,132347.89,Control
5889920,11.0,33.0,M,2.0,106249.03,Test
3065089,19.0,63.0,M,2.0,439723.43,Test
313570,18.0,48.0,F,2.0,75124.07,Test
9721424,12.0,32.0,F,2.0,29667.6,Test
3753796,25.0,66.5,F,2.0,214661.75,Control
6647577,23.0,68.0,F,3.0,86005.57,Test
6341488,23.0,65.0,F,2.0,116534.46,Test
838619,23.0,60.5,F,2.0,131309.81,Test
2000151,21.0,38.0,F,2.0,136515.53999999998,Test
6579978,21.0,74.0,M,2.0,71192.58,Control
8475126,23.0,51.0,M,3.0,327091.02,Control
7419744,18.0,49.0,U,2.0,162233.71000000002,Test
9796602,18.0,46.0,F,2.0,25827.39,Test
1329260,17.0,63.5,F,2.0,666138.27,Control
4821014,17.0,62.5,M,2.0,45073.26,Control
7906602,21.0,54.5,F,2.0,39725.28,Test
2671231,5.0,23.0,U,2.0,43062.3,Control
9587439,5.0,26.5,U,2.0,28875.65,Control
5542798,9.0,56.5,M,2.0,79888.68,Test
5977906,10.0,76.5,F,2.0,82916.93,Control
7928244,14.0,33.0,F,2.0,105416.69,Test
4906392,13.0,27.5,F,2.0,52600.87,Control
3939684,15.0,60.5,F,2.0,48166.13,Control
3731320,7.0,39.5,U,2.0,34487.99,Test
9055726,5.0,25.0,U,3.0,33261.64,Test
5808972,5.0,23.0,U,2.0,29898.98,Control
7414763,7.0,27.0,U,2.0,53219.65,Test
1531616,10.0,60.0,M,2.0,100777.88,Control
8387066,27.0,66.0,M,2.0,406190.96,Test
3402999,7.0,39.0,U,2.0,56527.9,Control
8593187,14.0,56.0,M,3.0,207559.95,Control
5908339,15.0,40.0,F,2.0,205785.55,Control
4442018,6.0,33.0,U,2.0,65264.87,Control
5727622,6.0,52.0,U,3.0,109130.47,Test
3284361,12.0,31.5,F,2.0,28085.99,Test
6666515,14.0,38.0,U,2.0,59526.37,Test
9150149,5.0,43.5,U,2.0,104179.39,Control
7176877,5.0,35.0,U,2.0,75279.47,Control
410752,11.0,19.0,M,2.0,25640.01,Test
3979917,19.0,63.0,M,2.0,374919.6,Control
7759130,5.0,64.5,U,2.0,78278.56,Test
5587497,7.0,64.0,U,2.0,410277.5,Control
4264493,5.0,22.5,U,3.0,36298.01,Control
9492169,4.0,42.0,U,2.0,98181.16,Control
5816825,14.0,54.5,F,2.0,32873.33,Test
9692048,11.0,38.0,M,2.0,87935.1,Control
9250552,7.0,33.5,U,2.0,77674.34,Control
1730954,5.0,36.5,F,2.0,58456.9,Control
2264903,15.0,61.0,M,2.0,63368.8,Test
7321667,7.0,39.5,U,2.0,68761.48999999999,Test
1460648,24.0,40.5,F,5.0,121700.66,Test
2942135,21.0,68.5,U,3.0,417847.47,Test
1459001,20.0,72.0,M,3.0,166623.2,Control
6398341,20.0,33.5,F,3.0,109127.33,Control
5531076,19.0,44.5,M,2.0,67727.62,Control
3162487,8.0,40.0,U,2.0,259691.04,Test
2570380,4.0,52.5,U,2.0,51670.67999999999,Control
5449775,4.0,28.5,U,2.0,46749.74,Control
8415669,14.0,59.5,M,2.0,43793.82,Control
6810931,5.0,23.0,U,2.0,45780.6,Test
8096768,10.0,60.0,F,2.0,91761.22,Control
6737425,15.0,59.5,M,2.0,83778.79000000001,Test
7949341,14.0,48.0,U,2.0,25253.27,Test
7458635,7.0,26.5,U,3.0,158434.49,Control
3322068,15.0,45.0,F,2.0,140687.41,Test
1643775,4.0,18.0,U,2.0,25270.36,Control
934609,14.0,54.0,F,2.0,136573.63,Test
2408879,4.0,49.0,U,2.0,208004.65,Test
1596507,28.0,78.0,F,3.0,175883.31,Test
8763719,12.0,40.0,M,3.0,98540.5,Control
7702214,6.0,32.0,U,2.0,43988.28,Control
200698,13.0,31.5,M,2.0,28559.28,Test
7449147,27.0,26.5,F,2.0,215247.66,Control
2096514,14.0,59.5,F,2.0,84419.06,Control
5474775,14.0,40.5,F,2.0,95855.61,Test
6226205,12.0,68.5,F,2.0,45294.1,Test
2069824,13.0,50.5,F,2.0,52157.46,Control
7045562,7.0,33.5,U,3.0,73644.53,Control
8501949,7.0,27.0,U,2.0,76834.13,Test
5376149,20.0,56.5,M,2.0,858054.38,Control
148954,13.0,59.5,F,2.0,89263.33,Control
7803610,7.0,29.0,U,2.0,66958.67,Test
7772844,4.0,37.5,U,3.0,43012.02,Test
4681026,6.0,57.0,U,2.0,99729.87,Control
9242446,15.0,70.0,M,2.0,56986.04,Control
1905822,11.0,28.5,F,2.0,49186.49,Control
5586955,6.0,32.0,U,2.0,30493.38,Test
6980695,4.0,74.5,U,2.0,143304.76,Control
3097635,9.0,22.0,M,2.0,27215.69,Test
2559930,14.0,50.0,F,2.0,26430.43,Control
2693746,14.0,51.5,M,2.0,35206.61,Control
9073948,7.0,58.5,U,2.0,175468.15000000002,Control
9897542,6.0,23.0,U,2.0,66806.76999999999,Control
6652996,10.0,50.0,F,2.0,48410.62,Control
5601417,8.0,55.0,F,2.0,23799.36,Test
4560228,6.0,53.0,M,2.0,98419.63,Test
1592329,17.0,27.5,U,2.0,27189.73,Control
5115750,22.0,62.0,F,4.0,351838.75,Control
7885704,20.0,65.5,F,2.0,34564.77,Test
2876901,4.0,54.0,U,2.0,47348.42999999999,Test
2365190,5.0,29.5,U,3.0,30376.22,Test
4516383,8.0,45.0,U,2.0,91159.68,Control
730546,16.0,51.5,F,2.0,33972.98,Test
1860982,7.0,51.5,U,2.0,98988.68,Test
1945276,16.0,50.5,M,2.0,91623.79,Test
1525212,13.0,33.0,F,2.0,72424.95999999999,Test
7139038,6.0,39.0,U,2.0,31918.65,Test
3678422,17.0,33.0,M,3.0,339660.53,Control
121354,5.0,30.5,U,2.0,35592.44,Test
7597197,12.0,33.0,F,2.0,60175.34,Test
